Run,Assay Type,AvgSpotLen,Bases,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_store_temp,Sample Name,Sample_name,SRA Study,temp
DRR711775,AMPLICON,246,245829,SAMD01602011,MIMS.me.miscellaneous,224180,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691796,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0078,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:04:00Z,1,-20,SAMD01602011,HS3_S_0078,DRP017300,30
DRR711778,AMPLICON,246,271189,SAMD01602014,MIMS.me.miscellaneous,241882,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691799,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0081,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:05:00Z,1,-20,SAMD01602014,HS3_S_0081,DRP017300,30
DRR711789,AMPLICON,246,205102,SAMD01602025,MIMS.me.miscellaneous,218042,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691810,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0092,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:01:00Z,1,-20,SAMD01602025,HS3_S_0092,DRP017300,30
DRR711790,AMPLICON,246,237893,SAMD01602026,MIMS.me.miscellaneous,235659,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691811,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0093,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:01:00Z,1,-20,SAMD01602026,HS3_S_0093,DRP017300,30
DRR711793,AMPLICON,246,168657,SAMD01602029,MIMS.me.miscellaneous,182291,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691814,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0096,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01602029,HS3_S_0096,DRP017300,30
DRR711795,AMPLICON,246,238930,SAMD01602031,MIMS.me.miscellaneous,221764,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691816,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0098,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:57:00Z,1,-20,SAMD01602031,HS3_S_0098,DRP017300,30
DRR711797,AMPLICON,246,273964,SAMD01602033,MIMS.me.miscellaneous,248283,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691818,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0100,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:01:00Z,1,-20,SAMD01602033,HS3_S_0100,DRP017300,30
DRR711798,AMPLICON,246,359280,SAMD01602034,MIMS.me.miscellaneous,300354,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691819,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0101,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:59:00Z,1,-20,SAMD01602034,HS3_S_0101,DRP017300,30
DRR711800,AMPLICON,246,307971,SAMD01602036,MIMS.me.miscellaneous,263489,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691821,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0103,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:04:00Z,1,-20,SAMD01602036,HS3_S_0103,DRP017300,30
DRR711802,AMPLICON,246,372074,SAMD01602038,MIMS.me.miscellaneous,311839,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691823,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0105,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:00:00Z,1,-20,SAMD01602038,HS3_S_0105,DRP017300,30
DRR711804,AMPLICON,246,304249,SAMD01602040,MIMS.me.miscellaneous,257909,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691825,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0107,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:04:00Z,1,-20,SAMD01602040,HS3_S_0107,DRP017300,30
DRR711808,AMPLICON,246,237416,SAMD01602044,MIMS.me.miscellaneous,237671,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691829,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0111,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01602044,HS3_S_0111,DRP017300,30
DRR711811,AMPLICON,246,211113,SAMD01602047,MIMS.me.miscellaneous,210336,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691832,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0114,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:05:00Z,1,-20,SAMD01602047,HS3_S_0114,DRP017300,30
DRR711815,AMPLICON,246,313885,SAMD01602051,MIMS.me.miscellaneous,270718,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691836,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0118,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:05:00Z,1,-20,SAMD01602051,HS3_S_0118,DRP017300,30
